HU,LI,CO2,HURatio,OC,class
23.7,26.272,585.2,749.2,0.004764163,1
23.718,26.29,578.4,760.4,0.004772661,1
23.73,26.23,572.6666667,769.6666667,0.004765153,1
23.7225,26.125,493.75,774.75,0.004743773,1
23.754,26.2,488.6,779,0.004766594,1
23.76,26.26,568.6666667,790,0.004779332,1
23.73,26.29,536.3333333,798,0.004776136,1
22.6,24.913,418,814.3,0.004197465,1
23.754,26.29,509,797,0.004783094,1
23.754,26.35,476,803.2,0.004794094,1
23.736,26.39,510,809,0.004796189,1
23.745,26.445,481.5,815.25,0.004808886,1
23.7,26.56,481.8,824,0.004816793,1
23.7,26.6,475.25,832,0.004824104,1
23.7,26.7,469,845.3333333,0.004842381,1
23.7,26.774,464,852.4,0.004855906,1
23.7,26.89,464,861,0.00487711,1
23.7,26.9725,455,880,0.004892191,1
23.6,26.89,454,891,0.004847594,1
22.55,25.15,422.8,845.7,0.00424653,1
23.64,26.976,458,897.6,0.004875045,1
22.5,25.04,421.8,826.4,0.004219178,1
23.65,27.05,464,900.5,0.004891492,1
22.6,25.89,418,813.6,0.004193734,1
23.64,27.1,473,908.8,0.00489763,1
23.6,27.16,464,918,0.004896652,1
23.6,27.236,498.4,925.2,0.004910462,1
23.6,27.29,530.2,929.4,0.004920275,1
23.6,27.33,533.6,936.4,0.004927544,1
23.6,27.34,524.25,950,0.004929361,1
23.625,27.3925,498.6666667,961,0.004946406,1
23.6,27.39,516.3333333,963,0.004938448,1
23.6,27.412,501.2,958.6,0.004942446,1
22.6,25.06666667,428.3333333,849.3333333,0.00424961,0
22.6,25.2,422.5,853,0.00427237,0
23.755,26.3,508,798,0.004783095,0
22.6,25.2,423.6666667,853,0.00427237,0
22.54,25.16,424.6,852,0.004249921,0
22.54,25.16,427.4,853.6,0.004249921,0
22.54,25.14,421.8,845.6,0.00424652,0
22.525,25.1,426,834.25,0.004235829,0
22.5,25.04,421.8,826.4,0.004219178,0
22.5,25,419,819.6,0.004212392,0
22.5,25,419,829.6,0.004212392,0
22.5,25,419,824,0.004212392,0
23.737,26.39,511,808,0.004796188,0
22.5,24.912,419,814.2,0.004197464,0
22.5,24.89,419,813.5,0.004193733,0
22.5,24.89,419,813.8,0.004193733,0
22.5,24.89,419,811,0.004193733,0
22.478,24.87,419,804.6,0.004184704,0
22.456,24.83,419,807.8,0.004172308,0
23.7,26.88,455,892,0.004847595,0
22.5,24.85666667,419,802.3333333,0.004188079,0
22.4175,24.7475,419,796.75,0.004148566,0
22.456,24.81,419,794.4,0.004168925,0
22.39,24.7,419,790.6,0.004133586,0
22.4175,24.7225,419,789.75,0.004144348,0
22.39,24.7,419,782.2,0.004133586,0
20.79,25,0,529.75,0.00379152,0
20.79,25,0,528.75,0.00379152,0
20.79,25,0,528.25,0.00379152,0
20.79,25,0,526,0.00379152,0
20.79,25,0,526.5,0.00379152,0
20.79,24.96333333,0,529.3333333,0.003785925,0
20.815,24.945,0,528.25,0.00378899,0